name,description,img,url,children,parent
Ноутбуки и компьютеры,,,/ru/class/Noutbuki_i_kompyuteri-c700/,[],
Ноутбуки,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/category/Noutbuki-c4093/,[],Ноутбуки и компьютеры
Компьютеры,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/category/Kompyuteri-c6414/,[],Ноутбуки и компьютеры
Мониторы и аксессуары,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Monitori_i_aksessuari-c8810/,[],Ноутбуки и компьютеры
Мониторы,,,/ru/category/Monitori-c5691/,[],Мониторы и аксессуары
Подставки под монитор,,,/ru/category/Podstavki_pod_monitor-c8586/,[],Мониторы и аксессуары
Блоки питания для монитора,,,/ru/category/Bloki_pitaniya_dlya_monitora-c8811/,[],Мониторы и аксессуары
Комплектующие,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Komplektuyuschie-c7400/,[],Ноутбуки и компьютеры
Видеокарты,,,/ru/category/Videokarti-c3216/,[],Комплектующие
Блоки питания ПК,,,/ru/category/Bloki_pitaniya_PK-c6991/,[],Комплектующие
SSD диски,,,/ru/category/SSD_diski-c6861/,[],Комплектующие
Корпусы для ПК,,,/ru/category/Korpusa-c6563/,[],Комплектующие
Процессоры,,,/ru/category/Processori-c3214/,[],Комплектующие
Материнские платы,,,/ru/category/Vse_materinskie_plati-c3215/,[],Комплектующие
Кулеры к процессорам,,,/ru/category/Kulleri_k_processoram-c6581/,[],Комплектующие
Кабели питания,,,/ru/category/Kabel_pitaniya-c3194/,[],Комплектующие
Оптические приводы DVD±RW,,,/ru/category/Vneshnie_opticheskie_privodi-c2905/,[],Комплектующие
Райзеры,,,/ru/category/Rayzeri-c6996/,[],Комплектующие
Контроллеры для ПК,,,/ru/category/Kontrolleri-c3302/,[],Комплектующие
Кабели для передачи данных,,,/ru/category/Kabeli_dlya_peredachi_dannih-c3206/,[],Комплектующие
Процессоры для серверов,,,/ru/category/Procesori_dlya_serverov-c6698/,[],Комплектующие
Корпусы для сервера,,,/ru/category/Korpusi_dlya_servera-c6696/,[],Комплектующие
Звуковые платы,,,/ru/category/Zvukovie_plati-c3304/,[],Комплектующие
Вентиляторы к корпусам,,,/ru/category/Ventilyatori_k_korpusam-c3285/,[],Комплектующие
Серверные МП,,,/ru/category/Materinskie_plati-c6697/,[],Комплектующие
Оперативная память,,,/ru/category/Operativnaya_pamyat-c8371/,[],Комплектующие
Жесткие диски (HDD),,,/ru/category/Zhestkie_diski-c8373/,[],Комплектующие
Термопаста,,,/ru/category/Termopasta-c3275/,[],Комплектующие
Термопрокладки,,,/ru/category/Termoprokladki-c8587/,[],Комплектующие
Радиаторы охлаждения,,,/ru/category/Radiator_ohlazhdeniya-c8602/,[],Комплектующие
Услуги для ПК,,,/ru/category/Sborka_PK-c8442/,[],Комплектующие
Крепления VESA для корпусов,,,/ru/category/Krepleniya_VESA_dlya_korpusov-c8562/,[],Комплектующие
Оптические приводы Blu-Ray,,,/ru/category/Opticheskie_privodi_Blu-Ray-c3140/,[],Комплектующие
Манипуляторы,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Mishki_i_klaviaturi-c799/,[],Ноутбуки и компьютеры
Мышки,,,/ru/category/Vse_mishki-c5695/,[],Манипуляторы
Клавиатуры,,,/ru/category/Vse_klaviaturi-c5714/,[],Манипуляторы
Комплекты клавиатуры и мыши,,,/ru/category/Vse_komplekti-c3029/,[],Манипуляторы
Графические планшеты,,,/ru/category/Plansheti-c3037/,[],Манипуляторы
Планшет-мониторы,,,/ru/category/Planshet-monitori-c3038/,[],Манипуляторы
Наклейки на клавиатуру,,,/ru/category/Nakleyki_na_klaviaturu-c6784/,[],Манипуляторы
Коврики и поверхности,,,/ru/category/Kovriki_i_poverhnosti-c3032/,[],Манипуляторы
Перья для планшетов,,,/ru/category/Perya_dlya_planshetov-c3035/,[],Манипуляторы
Трекболы,,,/ru/category/Trekboli-c8576/,[],Манипуляторы
Электропитание,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Elektropitanie-c3162/,[],Ноутбуки и компьютеры
Аккумуляторы к ИБП,,,/ru/category/Akkumulyatornie_batarei_k_IBP-c3171/,[],Электропитание
ИБП UPS,,,/ru/category/Vse_IBP-c3164/,[],Электропитание
Зарядки для аккумуляторов,,,/ru/category/Zaryadnoe_ustroystvo-c3182/,[],Электропитание
Стабилизаторы напряжения,,,/ru/category/Vse_stabilizatori-c3173/,[],Электропитание
Инверторы,,,/ru/category/Invertori-c4320/,[],Электропитание
Держатели для кабеля,,,/ru/category/Derzhateli_dlya_kabelya-c7407/,[],Электропитание
Аккумуляторы и батарейки,,,/ru/category/Akkumulyatori_i_batareyki-c8333/,[],Электропитание
"Сетевые фильтры, удлинители",,,/ru/category/Setevie_filtri_udliniteli-c8335/,[],Электропитание
Аксессуары к ноутбукам и ПК,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Aksessuari-c2998/,[],Ноутбуки и компьютеры
Внешние жесткие диски,,,/ru/category/Vneshnie_zhestkie_diski-Portativnie-c2955/,[],Аксессуары к ноутбукам и ПК
USB флешки,,,/ru/category/USB_flesh_nakopiteli-c2553/,[],Аксессуары к ноутбукам и ПК
Веб-камеры,,,/ru/category/Veb-kameri-c3092/,[],Аксессуары к ноутбукам и ПК
Переходники,,,/ru/category/Perehodnik-c7013/,[],Аксессуары к ноутбукам и ПК
Блоки питания для ноутбуков,,,/ru/category/Bloki_pitaniya-c886/,[],Аксессуары к ноутбукам и ПК
Аккумуляторы для ноутбуков,,,/ru/category/Akkumulyatori-c884/,[],Аксессуары к ноутбукам и ПК
Подставки для ноутбуков,,,/ru/category/Podstavki-c883/,[],Аксессуары к ноутбукам и ПК
Порт-репликаторы,,,/ru/category/Port-replikatori-c7372/,[],Аксессуары к ноутбукам и ПК
DVD-Диски,,,/ru/category/Opticheskie_diski-DVD-R-ru-c3110/,[],Аксессуары к ноутбукам и ПК
CD-Диски,,,/ru/category/CD-RW_ru-c3115/,[],Аксессуары к ноутбукам и ПК
Кардридеры,,,/ru/category/Kartrideri-c2894/,[],Аксессуары к ноутбукам и ПК
Сумки и рюкзаки для ноутбука,,,/ru/category/Sumki_i_ryukzaki_dlya_noutbuka-c8336/,[],Аксессуары к ноутбукам и ПК
Карманы и переходники,,,/ru/category/Karmani_i_perehodniki-c8331/,[],Аксессуары к ноутбукам и ПК
USB хабы,,,/ru/category/Koncentratori-c6640/,[],Аксессуары к ноутбукам и ПК
Bluetooth-адаптеры,,,/ru/category/Bluetooth-adapteri-c6790/,[],Аксессуары к ноутбукам и ПК
Чистящие средства,,,/ru/category/Chistyaschie_sredstva-c8332/,[],Аксессуары к ноутбукам и ПК
Адаптеры USB,,,/ru/category/Konvertori-c3204/,[],Аксессуары к ноутбукам и ПК
Защита стационарной техники,,,/ru/category/Zaschita_stacionarnoy_tehniki-c8610/,[],Аксессуары к ноутбукам и ПК
Подставки для планшетов,,,/ru/category/Podstavki-c2947/,[],Аксессуары к ноутбукам и ПК
Столики для ноутбуков,,,/ru/category/Stoliki_dlya_noutbukov-c8248/,[],Аксессуары к ноутбукам и ПК
BD-Диски,,,/ru/category/BD-R_ru-c3116/,[],Аксессуары к ноутбукам и ПК
Салфетки,,,/ru/category/Salfetki_dlya_tehniki-c3210/,[],Аксессуары к ноутбукам и ПК
Чехлы для HDD,,,/ru/category/Chehol_dlya_HDD-c2958/,[],Аксессуары к ноутбукам и ПК
Тросики с замком,,,/ru/category/Trosiki_s_zamkom-c2540/,[],Аксессуары к ноутбукам и ПК
Конверты для дисков,,,/ru/category/Konverti_dlya_diskov-c8577/,[],Аксессуары к ноутбукам и ПК
Планшеты и аксессуары,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Plansheti_i_aksessuari-c6900/,[],Ноутбуки и компьютеры
Планшеты,,,/ru/category/Plansheti-c4095/,[],Планшеты и аксессуары
Блоки питания для планшетов,,,/ru/category/Bloki_pitaniya-c2964/,[],Планшеты и аксессуары
Электронные книги,,,/ru/category/Vse_elektronnie_knigi-c4322/,[],Планшеты и аксессуары
Чехлы для планшетов,,,/ru/category/Vse_chehli-c944/,[],Планшеты и аксессуары
Чехлы для эл. книг,,,/ru/category/Chehli_dlya_knig-c2961/,[],Планшеты и аксессуары
Крепления для планшетов,,,/ru/category/Krepleniya_dlya_plansheta-c8588/,[],Планшеты и аксессуары
Сетевое оборудование,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Setevoe_oborudovanie-c7403/,[],Ноутбуки и компьютеры
Коммутаторы сетевые,,,/ru/category/Vse_kommutatori-c5688/,[],Сетевое оборудование
Маршрутизаторы,,,/ru/category/Marshrutizatori-c6794/,[],Сетевое оборудование
Сетевые хранилища NAS,,,/ru/category/Hranilischa_dannih_NAS-c2957/,[],Сетевое оборудование
Точки доступа Wi-Fi,,,/ru/category/Tochka_dostupa_Wi-Fi-c3360/,[],Сетевое оборудование
Адаптеры PoE,,,/ru/category/Adapteri_PoE-c3357/,[],Сетевое оборудование
Ретрансляторы,,,/ru/category/Retranslyatori-c3359/,[],Сетевое оборудование
Адаптеры Powerline,,,/ru/category/Adapteri_Powerline-c3356/,[],Сетевое оборудование
Модемы,,,/ru/category/Ethernet-c3344/,[],Сетевое оборудование
Коммутаторы KVM,,,/ru/category/Kommutatori-KVM-c3384/,[],Сетевое оборудование
Медиаконверторы,,,/ru/category/Mediakonvertori-c6797/,[],Сетевое оборудование
Файрволы,,,/ru/category/Fayrvoli-c6795/,[],Сетевое оборудование
Модули SFP,,,/ru/category/Moduli_SFP-c7405/,[],Сетевое оборудование
Сетевые карты и адаптеры,,,/ru/category/Setevie_karti_i_adapteri-c8374/,[],Сетевое оборудование
Мобильные Wi-Fi роутеры,,,/ru/category/Mobilnie_Wi-Fi_routeri-c8286/,[],Сетевое оборудование
"Модемы 4G, 3G, GSM, CDMA",,,/ru/category/Modemi_4G_3G_GSM_CDMA-c8323/,[],Сетевое оборудование
Адаптеры-переходники,,,/ru/category/Adapteri-perehodniki-c8397/,[],Сетевое оборудование
Усилители сигнала,,,/ru/category/Usiliteli_signala-c8396/,[],Сетевое оборудование
3G роутеры,,,/ru/category/3G_routeri-c6864/,[],Сетевое оборудование
БП для сетевого оборудования,,,/ru/category/BP_dlya_setevogo_oborudovaniya-c8579/,[],Сетевое оборудование
Пассивное сетевое,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,/ru/group/Montazhnoe_oborudovanie_prokladka_seti-c848/,[],Ноутбуки и компьютеры
